product_id,product_name,category,price,launch_date,related_products
P001,Premium Health Monitor,healthcare,299.99,2023-04-15,P005,P012
P002,Advanced Glucose Meter,healthcare,149.99,2022-11-30,P008,P015
P003,Professional Blood Pressure Kit,healthcare,199.99,2023-01-18,P007,P009
P004,Daily Vitamin Subscription,wellness,39.99,2023-06-01,P011,P016
P005,Sleep Analysis Wearable,healthcare,249.99,2022-08-12,P001,P006
P006,Fitness Tracking Band,wellness,129.99,2022-09-25,P005,P013
P007,Remote Patient Monitoring System,healthcare,499.99,2023-03-10,P003,P012
P008,Diabetes Management Platform,healthcare,179.99,2023-02-14,P002,P015
P009,Telehealth Consultation Package,healthcare,99.99,2023-05-20,P003,P007
P010,Mental Health App Subscription,wellness,19.99,2023-07-01,P014,P016
P011,Nutritional Supplement Bundle,wellness,89.99,2022-12-10,P004,P013
P012,Emergency Response System,healthcare,349.99,2023-01-05,P001,P007
P013,Smart Scale with Body Composition,wellness,79.99,2022-10-15,P006,P011
P014,Stress Management Program,wellness,149.99,2023-04-05,P010,P016
P015,Continuous Glucose Monitor,healthcare,289.99,2022-11-15,P002,P008
P016,Meditation App Premium,wellness,14.99,2023-03-22,P004,P010
P017,Ergonomic Office Chair,workplace,399.99,2022-12-01,P018,P020
P018,Adjustable Standing Desk,workplace,549.99,2023-02-01,P017,P019
P019,Workplace Wellness Program,workplace,199.99,2023-06-15,P018,P021
P020,Ergonomic Keyboard and Mouse,workplace,129.99,2022-09-10,P017,P022
P021,Indoor Air Quality Monitor,workplace,179.99,2023-01-25,P019,P022
P022,Natural Light Desk Lamp,workplace,89.99,2022-11-05,P020,P021
P023,Enterprise Health Analytics Platform,enterprise,1499.99,2023-05-01,P024,P026
P024,Corporate Wellness Program,enterprise,999.99,2022-10-20,P023,P025
P025,Employee Health Screening Package,enterprise,799.99,2023-03-15,P024,P026
P026,Healthcare Provider Integration Suite,enterprise,1999.99,2023-04-20,P023,P025
P027,Basic Health Insurance Plan,insurance,399.99,2022-12-15,P028,P030
P028,Premium Health Insurance Plan,insurance,799.99,2023-01-10,P027,P029
P029,Family Health Insurance Bundle,insurance,1299.99,2023-02-28,P028,P030
P030,Supplemental Health Coverage,insurance,199.99,2022-11-01,P027,P029
